Gene ID;source_id;Product Description;Min %ile (Within Chosen Samples);Max %ile (Within Chosen Samples);P. falciparum Newbold mRNA Seq data - 0 hours - unique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 8 hours - unique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 16 hours - unique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 24 hours - unique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 32 hours - unique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 40 hours - unique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 48 hours - unique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 0 hours - nonunique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 8 hours - nonunique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 16 hours - nonunique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 24 hours - nonunique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 32 hours - nonunique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 40 hours - nonunique (Pf3D7 blood stage RNAseq);P. falciparum Newbold mRNA Seq data - 48 hours - nonunique (Pf3D7 blood stage RNAseq)
PF3D7_0101100;PF3D7_0101100.1;exported protein family 4;0;13.2;0;1.27;0;1.37;3.21;0;0;49.9;64;40.37;63.8;12.71;38;51.41
PF3D7_0101200;PF3D7_0101200.1;exported protein family 3;0;0;0;0;0;0;0;0;0;38.84;51.81;26.85;27.66;5.12;32.69;32.15
PF3D7_0101300;PF3D7_0101300.1;Pfmc-2TM Maurer's cleft two transmembrane protein;6.5;64.5;0.77;0.83;0.79;59.25;12.67;22.92;15.57;13.55;16.01;47.49;570.32;61.76;58.23;54.36
PF3D7_0101400;PF3D7_0101400.1;exported protein family 1, pseudogene;0;10;0;0;0.67;0;0;0;0;12.33;32.33;26.81;20.29;5;14.77;20.06
PF3D7_0101500;PF3D7_0101500.1;erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene;0;12.4;0.33;0.36;1.01;0.77;0;1.23;1.12;18.03;21.8;20.02;16.58;15.07;21.73;26.57
PF3D7_0101600;PF3D7_0101600.1;rifin;0;18.2;0.49;0;0;6.87;2.69;5.48;0;2.79;1.42;2.65;9.93;5.32;6.53;6.2
PF3D7_0101700;PF3D7_0101700.1;erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene;0;7.9;0;0;0.41;0;0;0;0;4.1;4.87;4.32;5.6;6.96;18.67;21.46
PF3D7_0101800;PF3D7_0101800.1;stevor;0;13.8;0;0;0.64;0;3.44;2.33;4.22;1.78;2.53;4.13;4.83;3.4;7.29;7.92
PF3D7_0101900;PF3D7_0101900.1;rifin;0;20.2;0;4.57;0;2.46;0;3.93;3.56;1.2;5.49;0.32;0.51;0.57;6.15;2.75
PF3D7_0102000;PF3D7_0102000.1;Plasmodium exported protein (PHISTa), unknown function, pseudogene;0;23.3;0;0;0;0;3.94;13.36;4.84;0.82;0.41;0;0;0.78;3.58;2.67
PF3D7_0102100;PF3D7_0102100.1;stevor, pseudogene;4.7;42.3;18.1;4.18;2.63;1.5;3.53;7.19;2.17;17.19;8.19;4.63;2.17;4.89;2.68;2.87
PF3D7_0102200;PF3D7_0102200.1;ring-infected erythrocyte surface antigen;74.5;99.9;10381.43;2682.15;646.35;138.12;97.26;175.59;180.46;8401.43;2204.04;565.66;140.46;87.41;172.99;173.97
PF3D7_0102300;PF3D7_0102300.1;Plasmodium exported protein, unknown function;13.7;97.1;3.09;4.99;3.14;129.27;827.54;234.95;233.56;18.35;17.79;14.76;143.88;1351.96;296.91;291.84
PF3D7_0102400;PF3D7_0102400.1;lysophospholipase, putative, pseudogene;9.7;34.2;4.75;2.56;1.93;3.31;18.16;21.13;11.16;8.86;4.1;3.12;7.52;16.93;16.12;14.42
PF3D7_0102500;PF3D7_0102500.1;erythrocyte binding antigen-181;21.8;76.5;41.97;46.08;7.93;10.54;8.26;89.7;99.21;44.66;45.19;7.91;6.53;5.53;83.98;87.42
PF3D7_0102600;PF3D7_0102600.1;serine/threonine protein kinase, FIKK family;15.9;85.9;18.49;13.69;111.12;101.4;4.74;13.93;10.68;19.94;16.64;129.17;110.26;9.68;9.33;7.7
PF3D7_0102700;PF3D7_0102700.1;merozoite-associated tryptophan-rich antigen;12.8;90.6;208.6;58.12;16.07;4.59;21.58;36.62;37.59;259.86;76.17;23.57;14.22;21.33;30.53;26.33
PF3D7_0102800;PF3D7_0102800.1;seipin domain-containing protein, putative;7.5;43.6;3.9;1.29;0.31;12.54;29.5;26.69;26.19;7.63;5.53;2.51;17.13;31.75;31.05;27.99
PF3D7_0102900;PF3D7_0102900.1;aspartate--tRNA ligase;58.6;88;68.9;101.45;94.08;208.14;106.48;63.63;47.86;69.41;104.64;108.48;230.85;125.65;83.33;78.4
PF3D7_0103000;PF3D7_0103000.1;vacuolar protein sorting-associated protein VTA1, putative;9.4;47.8;5.61;1.51;0.71;3.26;34.49;26.01;25.91;12.69;4.85;2.09;7.4;37.88;41.82;38.44
PF3D7_0103100;PF3D7_0103100.1;vacuolar protein sorting-associated protein 51, putative;14.4;31.3;7.25;3.12;1.36;7.52;16.45;18.2;15.36;9.4;4.94;2.66;8.4;13.49;18.38;18.75
PF3D7_0103200;PF3D7_0103200.1;nucleoside transporter 4;83.6;98.4;134.09;125.46;220.9;1059.78;1117.83;971.55;1081.26;218.1;245.43;384.76;1351.72;1084.37;620.37;686.73
PF3D7_0103300;PF3D7_0103300.1;conserved protein, unknown function;37.7;67.9;28.36;50.2;29.67;35.5;22.77;28.7;35.32;29.85;48.55;30.43;43.42;27.86;26.95;28.07
PF3D7_0103400;PF3D7_0103400.1;zinc-carboxypeptidase, putative;53.6;72.7;39.47;24.1;19.8;57.25;87.9;53.81;69.9;39.51;24.29;19;76.99;70.47;65.68;63.4
PF3D7_0103500;PF3D7_0103500.1;conserved Plasmodium protein, unknown function;17.9;30.6;10.09;3.98;3.36;11.62;15.84;10.38;13.43;9.22;4.95;3.4;10.75;21.81;11.26;13.18
PF3D7_0103600;PF3D7_0103600.1;ATP-dependent RNA helicase, putative;17.9;43.1;5.82;8.95;8.82;19.87;19.47;13.66;10.37;5.91;6.84;6.88;19.55;16.3;8.36;8.18
PF3D7_0103700;PF3D7_0103700.1;L-seryl-tRNA(Sec) kinase, putative;19.7;50.8;11.56;20.88;10.04;16.6;9.3;15.14;11.43;12.51;16.45;11.37;13.88;13.6;9.58;13.35
PF3D7_0103800;PF3D7_0103800.1;actin-related protein;32.1;93.4;13.4;11.85;8.28;15.57;115.07;291.07;319.88;19.49;17.36;8.85;13.55;70.82;122.48;137.53
PF3D7_0103900;PF3D7_0103900.1;parasite-infected erythrocyte surface protein;47.4;67.8;47.15;40.56;35.43;47.82;58.82;32.87;49.97;35.99;30.62;25.69;59.25;86.17;43;44.08
PF3D7_0104000;PF3D7_0104000.1;thrombospondin-related sporozoite protein;0;33.5;1.11;3.59;1.13;0;6.08;20.62;14.94;1.26;4.48;1.99;3.74;8.41;17.5;13.18
PF3D7_0104100;PF3D7_0104100.1;conserved Plasmodium membrane protein, unknown function;14.9;70;20.94;8.92;2.81;5.35;26.42;72.57;74.23;22.14;7.42;3.02;5.75;33.07;81.04;78.61
PF3D7_0104200;PF3D7_0104200.1;StAR-related lipid transfer protein;63.7;96.5;113.97;75.67;27.81;227.74;514.22;551.68;540.31;207.13;128.58;50.1;282.4;422.16;721.12;724.41
PF3D7_0104300;PF3D7_0104300.1;ubiquitin carboxyl-terminal hydrolase 1, putative;35.1;84.8;123.43;104.11;54.17;21.43;19.93;24.54;24.5;95.55;83.62;47.2;19.18;13.39;21.14;19.99
PF3D7_0104400;PF3D7_0104400.1;4-hydroxy-3-methylbut-2-enyl diphosphate reductase;57.9;73.4;59.17;36.26;48.8;52.17;87.37;46.68;52.56;52.33;30.94;38.17;76.74;108.76;97.77;89.19
PF3D7_0104500;PF3D7_0104500.1;conserved protein, unknown function;55.8;87.6;30.82;94.63;125.45;179.85;164.88;46.22;44.06;34.13;90.25;115.48;191.71;102.02;54.86;48.58
PF3D7_0104600;PF3D7_0104600.1;conserved Plasmodium protein, unknown function;15;55.1;10.34;16.26;17.03;22.77;32.72;8.58;13.71;9.62;16.22;13.64;19.85;18.23;9.02;10.99
PF3D7_0104700;PF3D7_0104700.1;major facilitator superfamily-related transporter, putative;4.4;13.2;1.02;0.55;0.26;4.76;2.8;1.9;5.16;2.17;1.62;0.46;2.21;1.66;2.76;4.74
PF3D7_0104800;PF3D7_0104800.1;novel putative transporter 1, putative;56.9;86.7;85.15;57.74;18.94;54.98;189.63;146.24;151.52;87.42;57.39;20.15;67.38;181.96;125.15;125.24
PF3D7_0104900;PF3D7_0104900.1;RNase MRP;46.5;71.8;33.73;17.21;23.49;66.03;77.64;79.04;59.65;31.14;35.79;18.02;37.51;36.45;26.48;26.31
PF3D7_0105000;PF3D7_0105000.1;unspecified product;67.8;90.5;91.14;64.25;35.41;242.67;181.17;239.74;206;326.25;228.09;150.37;386.65;112.8;588.96;561.07
PF3D7_0105100;PF3D7_0105100.1;conserved Apicomplexan protein, unknown function;8.3;63.9;1.27;4.09;1.29;29.42;62.28;46.96;38.28;5.73;4.37;5.29;29.17;75.22;33.56;37.51
PF3D7_0105200;PF3D7_0105200.1;heptatricopeptide repeat and RAP domain-containing protein, putative;47.6;85.9;28.83;17.94;19.89;175;143.6;127.16;119.47;37.52;26.57;28.5;215.01;180.68;120.23;121.05
PF3D7_0105300;PF3D7_0105300.1;cyclase-associated protein;26.2;90.9;57.03;19.27;3.41;57.19;97.81;244.76;247.98;67.7;25.76;8.01;38.12;114.79;236.25;225.36
PF3D7_0105400;PF3D7_0105400.1;conserved Plasmodium protein, unknown function;33.9;96.8;37.49;16.71;5.26;57.1;91.87;613.86;608.09;56.32;40.95;9.26;36;86.6;584.78;536.36
PF3D7_0105400;PF3D7_0105400.2;conserved Plasmodium protein, unknown function;33.9;96.8;37.49;16.71;5.26;57.1;91.87;613.86;608.09;56.32;40.95;9.26;36;86.6;584.78;536.36
PF3D7_0105500;PF3D7_0105500.1;conserved protein, unknown function;20.1;55.5;12.15;4.55;3.76;23.34;23.11;43.12;33.73;17.04;7.3;5.05;37.8;45.67;29.33;32.1
PF3D7_0105600;PF3D7_0105600.1;conserved Plasmodium protein, unknown function;33;55.3;11.9;23.88;14.69;41.51;23.59;20.98;22.5;15.74;32.31;26.21;52.15;35.37;23.79;24.03
PF3D7_0105700;PF3D7_0105700.1;asparagine-rich antigen Pfa35-2;22.9;48;16.66;13.58;11.44;9.82;22.11;17.66;13.39;12.69;9.22;7.88;6;10.35;9.76;9.48
PF3D7_0105800;PF3D7_0105800.1;cyclin-dependent kinases regulatory subunit, putative;52.6;81.4;85.78;44.54;20.26;37.64;80.14;125.82;128.66;81.46;37.43;18.94;39.29;110.65;125.27;131.16
PF3D7_0105900;PF3D7_0105900.1;3'-5' exonuclease, putative;50.6;72.8;56.84;21.86;13.22;45.3;88.77;72.29;62.74;45.25;18;10.66;40.93;70.18;66.59;69.48
PF3D7_0106000;PF3D7_0106000.1;conserved protein, unknown function;41.9;85.4;63.2;19.57;11.25;24.79;48.58;158.24;155.93;59.77;22.86;10.73;26.07;74.47;161.32;167.68
PF3D7_0106100;PF3D7_0106100.1;V-type proton ATPase subunit C, putative;81.7;90.9;117.25;111.45;94.68;269.24;168.67;195.46;197.76;120.58;129.85;120.44;298.09;217.98;210;242.67
PF3D7_0106200;PF3D7_0106200.1;EF hand domain-containing protein, putative;11.4;75.8;19.41;9.09;0.86;19.62;41.52;93.92;59.54;25.78;11.66;3.02;19.04;34.65;107.67;120.67
PF3D7_0106300;PF3D7_0106300.1;calcium-transporting ATPase;85.9;90.6;190.14;144.57;122.56;175.14;263.5;223.38;225.24;214.81;180.74;162.84;203.08;300.15;248.33;239.55
PF3D7_0106400;PF3D7_0106400.1;pre-rRNA-processing protein TSR2, putative;45.6;88.4;49.92;50.02;62.62;215.91;38.08;60.3;31.21;70.28;70.88;73.47;177.26;41.4;35.59;30.11
PF3D7_0106500;PF3D7_0106500.1;conserved Plasmodium protein, unknown function;11.9;36.2;13.94;10.15;3.94;4.2;18.35;12.93;15.18;11.61;7.43;3.31;3.35;12.83;11.55;12.53
PF3D7_0106600;PF3D7_0106600.1;conserved Plasmodium protein, unknown function;9.9;28;1.82;1.96;2.47;7.06;13.29;6.76;10.21;4.47;4.9;4.72;12.25;6.57;10.07;11.25
PF3D7_0106700;PF3D7_0106700.1;small ribosomal subunit assembling AARP2 protein;34.3;70.9;42.55;47.61;42.4;73.23;26.39;22.62;21.77;47.07;56.55;59.38;80.5;25.25;23.15;21.93
PF3D7_0106800;PF3D7_0106800.1;ras-related protein Rab-5C;57.5;90;87.33;29.22;33.65;57.15;250.27;144.68;153.82;81.06;31.74;29.36;53.32;152.06;136.26;135.68
PF3D7_0106900;PF3D7_0106900.1;2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative;40.8;65.2;22.57;17.63;7.82;28.82;65.07;46.92;50.83;26.38;14.14;6.81;20.12;57.34;45.82;52.73
PF3D7_0107000;PF3D7_0107000.1;centrin-1;45.3;81.4;89.52;32.53;9.88;32.59;135.61;92.03;86.97;93.36;27.33;12.23;50.75;117.7;84;75.91
PF3D7_0107100;PF3D7_0107100.1;conserved protein, unknown function;32.1;52.2;13.07;9.74;4.77;28.82;40.3;27.35;22.52;13.46;8.68;4.4;41.99;45.98;32.48;28.55
PF3D7_0107200;PF3D7_0107200.1;CCR4 domain-containing protein 3, putative;30.7;43.6;10.79;10.45;4.39;23.82;29.48;22.01;25.37;9.76;7.76;4.19;30.29;47.2;23.68;28.77
PF3D7_0107300;PF3D7_0107300.1;conserved Plasmodium protein, unknown function;13.2;39.4;5.01;5.89;3.25;22.25;4.98;10.14;7.66;7.48;4.72;3.26;11.6;10.34;9.82;13.84
PF3D7_0107400;PF3D7_0107400.1;ATP synthase-associated protein, putative;27.2;72.8;10.65;15.3;3.61;30.27;84.11;57.08;83.51;19.42;15.68;6.36;29.55;92.08;53.93;49.11
PF3D7_0107500;PF3D7_0107500.1;Niemann-Pick type C1-related protein;83.5;94.5;286.37;368.22;283.99;277.68;184.25;143.42;147.38;328.23;438.25;340.97;296.33;170.71;157.38;163.51
PF3D7_0107600;PF3D7_0107600.1;eukaryotic translation initiation factor 2-alpha kinase 2, putative;0;11.2;1.83;1.97;0.58;3.72;0;4.24;3.84;2.33;2.37;0.95;1.48;1.23;5.3;5.16
PF3D7_0107700;PF3D7_0107700.1;dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST3/OST6, putative;21.1;56.5;15.5;8.78;2.49;43.6;42.35;33.28;34.25;25.84;16.44;5.84;47.57;62.57;39.19;38.07
PF3D7_0107800;PF3D7_0107800.1;double-strand break repair protein MRE11;24.6;40.9;11.96;6.68;4.81;19.92;25.84;14.25;15.88;12.12;8.34;5.38;22.48;26.02;18.97;16.74
PF3D7_0107900;PF3D7_0107900.1;conserved Plasmodium protein, unknown function;41.2;84.7;29.06;33.43;99.47;109;90.26;26.95;33.28;25.78;25.1;76.49;124.93;86.34;35.57;34.25
PF3D7_0108000;PF3D7_0108000.1;proteasome subunit beta type-3, putative;91.7;97.7;427.82;253.69;344.74;512.72;1069.23;531.08;528.54;327.27;204.2;290.19;450.75;1026.13;476.49;450.78
PF3D7_0108100;PF3D7_0108100.1;conserved protein, unknown function;40.8;52.1;26.91;15.54;14.12;27.09;25.78;27.79;32.63;24.96;14.38;9.94;30.37;27.58;31.03;30.42
PF3D7_0108300;PF3D7_0108300.1;conserved Plasmodium protein, unknown function;55.7;92;131.01;184.48;202.2;130.05;52.92;43.52;49.34;107.3;144.9;164.95;110.55;35.01;32.28;32.88
PF3D7_0108400;PF3D7_0108400.1;mitochondrial carrier protein, putative;43.2;62.5;29.74;23.72;8.97;55.04;57.2;28.6;38.86;56.08;41.86;20.38;74.03;94.01;47.45;46.92
PF3D7_0108400;PF3D7_0108400.2;mitochondrial carrier protein, putative;43.2;62.5;29.74;23.72;8.97;55.04;57.2;28.6;38.86;56.08;41.86;20.38;74.03;94.01;47.45;46.92
PF3D7_0108500;PF3D7_0108500.1;conserved Plasmodium protein, unknown function;89.7;100;30288.95;13501.44;4802.43;798;243.57;833.98;775.75;21884.78;9637.5;3833.58;345.68;111.61;413.61;376.64
PF3D7_0108600;PF3D7_0108600.1;conserved protein, unknown function;42.7;87.4;18.41;17.91;10.88;34.5;197.99;57.27;37.9;28.55;23.25;8.86;31.93;87.25;42.3;32.99
PF3D7_0108700;PF3D7_0108700.1;secreted ookinete protein, putative;48.1;80.3;42.37;57.72;75.46;45.57;50.99;37.53;33.99;38.64;45.61;57.95;36.13;44.58;35.36;34.79
PF3D7_0108800;PF3D7_0108800.1;mitochondrial carrier protein, putative;58.9;76.3;53.52;31.54;33.4;85.68;104.89;67.43;78.04;67.7;48.85;40.09;96.48;203.5;123.41;112.98
PF3D7_0108900;PF3D7_0108900.1;unspecified product;12;87.8;160.41;134.48;9.28;4.24;4.98;182.57;171.48;129.42;93.95;8.16;11.81;2.95;78.53;80.35
PF3D7_0109000;PF3D7_0109000.1;photosensitized INA-labeled protein PHIL1;70.6;98.9;479.6;484.26;103.88;75.33;97.43;1541.74;1567.83;495.92;432.97;86.09;94.51;105.04;1602.77;1563.56
PF3D7_0109100;PF3D7_0109100.1;LCCL domain-containing protein;14.6;47.5;9.03;8.58;2.88;18.1;3.87;28.23;33.3;10.71;11.21;4.54;10.54;4.59;30.2;31.21
PF3D7_0109200;PF3D7_0109200.1;cleavage and polyadenylation specificity factor subunit 5, putative;70.7;84.5;100.92;90.16;98.72;101.84;98.36;78.36;76.23;75.24;68.48;77.53;101.79;116.65;66.76;61.44
PF3D7_0109300;PF3D7_0109300.1;fatty acid elongation protein, GNS1/SUR4 family, putative;16.8;74.6;16.37;4.25;1.72;31.48;67.87;90.02;77.74;30.01;15.93;9.43;34.41;83.54;85.09;91.15
PF3D7_0109400;PF3D7_0109400.1;tubulin-specific chaperone a, putative;34.9;90.3;50.21;22.34;25.55;248.65;125.3;36.44;22;56.19;20.12;28.02;260.44;69.58;60.59;44.48
PF3D7_0109500;PF3D7_0109500.1;N-acetyltransferase, GNAT family, putative;60.9;94.6;143.72;163.6;288.95;230.87;185.23;52.02;62.81;109.74;113.73;219.04;117.81;79.54;46.47;45.02
PF3D7_0109600;PF3D7_0109600.1;cold-shock protein, putative;13.4;41.1;9.66;2.6;2.46;19.64;6.6;26.87;16.22;19.12;11.82;5.04;18.55;14.35;35;22.36
PF3D7_0109700;PF3D7_0109700.1;rRNA biogenesis protein RRP36, putative;30.4;87.9;93.12;167.51;98.8;110.54;59.57;18.38;53.26;77.34;125.52;81.03;57.07;35.32;36.11;42.57
PF3D7_0109800;PF3D7_0109800.1;phenylalanine--tRNA ligase alpha subunit;60.8;88.8;132.28;180.64;91.46;140.5;83.04;51.65;72.3;158.27;186.99;108.07;178.37;122.75;79.44;94.25
PF3D7_0109850;PF3D7_0109850.1;phosphatidate cytidylyltransferase, putative;17;84.3;10.08;3.62;3.73;27.68;53.41;148.38;144.65;31.09;10.37;10.39;20.38;87.42;179.35;172.37
PF3D7_0109950;PF3D7_0109950.1;conserved protein, unknown function;66.9;80.5;53.17;60.77;43.06;65.58;130.48;108.68;69.26;60.77;51.24;42.75;95.33;107.85;103.37;82.8
PF3D7_0110000;PF3D7_0110000.1;conserved Plasmodium protein, unknown function;62.1;88.2;55.85;36.76;40.26;169.49;212.01;92.08;80.79;59.68;46.46;49.55;117.68;150.02;80.33;71.83
PF3D7_0110100;PF3D7_0110100.1;selenocysteine-specific elongation factor, putative;41.8;66.4;27.49;38.21;32.93;32.63;36.23;27.48;30.13;23.27;35.25;28.86;40.34;48.87;22.45;27.59
PF3D7_0110200;PF3D7_0110200.1;FAD-linked sulfhydryl oxidase ERV1, putative;34.2;79.6;12.66;12.27;11.59;114.76;41.52;32.87;51.04;21.48;28.43;22.67;126.41;97.11;46.14;47.83
PF3D7_0110300;PF3D7_0110300.1;Plasmodium RNA of unknown function RUF5;18.5;62.8;13.92;10.71;2.02;55.47;21.74;22.13;33.41;15.75;19.47;14.25;52.51;38.67;28.01;33.88
PF3D7_0110400;PF3D7_0110400.1;DNA-directed RNA polymerase II subunit RPB9, putative;67.5;88.2;66.35;61.25;65.3;211.86;131.53;70.32;66.14;100.24;129.75;124.49;244.69;165.44;111.75;106.42
PF3D7_0110500;PF3D7_0110500.1;bromodomain protein, putative;21.2;62.5;11.16;17.35;25.89;20.39;18.74;12.13;13.93;10.51;15.34;20.95;16.35;12.32;9.38;10.04
PF3D7_0110600;PF3D7_0110600.1;phosphatidylinositol-4-phosphate 5-kinase;52.4;87.6;157.35;153.87;125.22;62.9;40.77;41.5;44.38;143.51;146.76;135.41;82.76;48.81;51.1;51.23
PF3D7_0110700;PF3D7_0110700.1;chromatin assembly factor 1 protein WD40 domain, putative;53.9;95;28.95;25.91;20.33;175.36;497.1;142.2;124.68;33.91;33.58;28;158.97;419.9;109.46;97.59
PF3D7_0110800;PF3D7_0110800.1;transcription initiation factor TFIIB, putative;73.9;91.5;203.08;176.05;188.02;248.7;105.6;101.06;88.2;165.06;145.2;163.23;224.25;141.83;75.92;77.8
PF3D7_0110900;PF3D7_0110900.1;adenylate kinase-like protein 1;6.6;77.4;5.85;5.25;4.96;101.96;47.96;3.62;22.93;14.34;22.46;18.04;149.75;65.3;16.96;25.28
PF3D7_0111000;PF3D7_0111000.1;kinesin-8, putative;22.3;47;17.95;9.31;7.35;8.91;26.33;23.96;32.74;16.29;9.96;5.42;8.46;23.78;21.86;23.2
PF3D7_0111200;PF3D7_0111200.1;conserved protein, unknown function;0;48.8;0;2;1.89;12.97;10.17;34.5;25;1.05;5.36;2.22;17.86;8.04;24.66;23.43
PF3D7_0111300;PF3D7_0111300.1;P-loop containing nucleoside triphosphate hydrolase, putative;45.7;63.6;42.76;16.64;17.15;37.73;59.72;47.47;51.91;39.64;16.45;13.98;41.43;68.46;66.59;69.37
PF3D7_0111400;PF3D7_0111400.1;conserved Plasmodium protein, unknown function;13.3;55.2;30.42;17.48;6.45;9.43;15.24;8.46;7.67;20.08;10.95;4.24;8.15;14.52;10.08;8.64
PF3D7_0111500;PF3D7_0111500.1;UMP-CMP kinase, putative;34.8;93.2;22.05;15.83;5.49;76.31;101.79;321.74;278.23;49.9;29.63;8.19;89.16;169.42;329.23;325.28
PF3D7_0111600;PF3D7_0111600.1;conserved Plasmodium protein, unknown function;41.7;67.3;17.57;26.02;34.27;61.26;44.02;29.87;51.65;18.64;24.87;26.22;43.93;48.25;43.06;47.73
PF3D7_0111700;PF3D7_0111700.1;conserved protein, unknown function;10.1;77.1;6.18;1.66;7.86;32.32;109.78;63.04;15.57;20.1;26.69;23.98;83.8;171.92;60.15;42.35
PF3D7_0111800;PF3D7_0111800.1;eukaryotic translation initiation factor 4E, putative;50.1;79;33.46;41.41;69.3;90.07;93.06;35.93;38.46;31.22;35.67;59.76;90.47;91.34;40.12;43.71
PF3D7_0111900;PF3D7_0111900.1;conserved protein, unknown function;24.9;77.3;80.03;50.28;15.84;10.33;72.91;49.48;59.75;77.97;51.21;27.87;32.02;52.84;51.57;39.53
PF3D7_0112000;PF3D7_0112000.1;TatD-like deoxyribonuclease;35.4;70.1;13.43;22.35;12.01;73.77;40.04;39.24;47.85;18.88;29.06;18.46;66.61;79.13;47.87;53.96
PF3D7_0112100;PF3D7_0112100.1;conserved Plasmodium protein, unknown function;0;19.4;5.56;1.2;0;2.58;6.08;4.12;11.2;8.8;8.96;3.98;1.6;2.4;4.6;7.41
PF3D7_0112200;PF3D7_0112200.1;multidrug resistance-associated protein 1;33;84.3;20.8;9.15;14.96;156.19;125.72;87.91;83.32;29.25;15.84;21.55;180.11;172.32;82.01;84.45
PF3D7_0112800;PF3D7_0112800.1;Plasmodium exported protein (hyp11), unknown function;0;79.3;88.46;40.42;10.91;6.23;0;3.31;21.01;71.28;36.54;11.74;5.58;6.76;8.88;10.59
PF3D7_0112900;PF3D7_0112900.1;Plasmodium exported protein, unknown function;0;77.5;14.47;9.35;0;4.48;15.82;96.6;103.69;32.19;22.77;4.03;9.72;13.55;110.26;117.19
