Gene ID;source_id;Product Description;Min %ile (Within Chosen Samples);Max %ile (Within Chosen Samples)
PF3D7_0205900;PF3D7_0205900.1;26S proteasome regulatory subunit RPN1, putative;64.5;91.7
PF3D7_0206000;PF3D7_0206000.1;DNA repair protein RAD2, putative;42.1;72.8
PF3D7_0206100;PF3D7_0206100.1;cysteine desulfuration protein SufE;37;71.6
PF3D7_0206200;PF3D7_0206200.1;pantothenate transporter;29.2;91
PF3D7_0206300;PF3D7_0206300.1;pentafunctional AROM polypeptide, putative, pseudogene;51.3;96.7
PF3D7_0206500;PF3D7_0206500.1;conserved Plasmodium protein, unknown function;48.4;81.6
PF3D7_0206600;PF3D7_0206600.1;DNA-directed RNA polymerase III subunit RPC10, putative;24.4;65
PF3D7_0206700;PF3D7_0206700.1;adenylosuccinate lyase;28;71.1
PF3D7_0206800;PF3D7_0206800.1;merozoite surface protein 2;13;99.5
PF3D7_0206900;PF3D7_0206900.1;merozoite surface protein 5;51.4;96.7
PF3D7_0206900;PF3D7_0206900.2;merozoite surface protein 5;51.4;96.7
PF3D7_0207000;PF3D7_0207000.1;merozoite surface protein 4;42.2;98.9
PF3D7_0207100;PF3D7_0207100.1;conserved Plasmodium protein, unknown function;25.3;89.4
PF3D7_0207200;PF3D7_0207200.1;iron-sulfur assembly protein, putative;32.3;69.2
PF3D7_0207300;PF3D7_0207300.1;serine repeat antigen 8;0;12.6
PF3D7_0207400;PF3D7_0207400.1;serine repeat antigen 7;10.5;94.3
PF3D7_0207500;PF3D7_0207500.1;serine repeat antigen 6;9.5;96.3
PF3D7_0207600;PF3D7_0207600.1;serine repeat antigen 5;20;99.9
PF3D7_0207700;PF3D7_0207700.1;serine repeat antigen 4;6;92.8
PF3D7_0207800;PF3D7_0207800.1;serine repeat antigen 3;12.9;91.4
PF3D7_0207900;PF3D7_0207900.1;serine repeat antigen 2;6.5;31.7
PF3D7_0208000;PF3D7_0208000.1;serine repeat antigen 1;16.5;78.9
PF3D7_0208100;PF3D7_0208100.1;conserved Plasmodium protein, unknown function;31.7;88.7
PF3D7_0208200;PF3D7_0208200.1;KRR1 small subunit processome component, putative;63.1;93.2
PF3D7_0208300;PF3D7_0208300.1;conserved Plasmodium protein, unknown function;21;62.7
PF3D7_0208400;PF3D7_0208400.1;conserved Plasmodium protein, unknown function;65.2;85.6
PF3D7_0208500;PF3D7_0208500.1;acyl carrier protein;17;75.4
PF3D7_0208600;PF3D7_0208600.1;ribosome-recycling factor;38.2;87.9
PF3D7_0208700;PF3D7_0208700.1;conserved Plasmodium protein, unknown function, unspecified product;57.4;90.5
PF3D7_0208700;PF3D7_0208700.2;conserved Plasmodium protein, unknown function, unspecified product;57.4;90.5
PF3D7_0208800;PF3D7_0208800.1;conserved Plasmodium protein, unknown function;43;74.7
PF3D7_0208900;PF3D7_0208900.1;6-cysteine protein P230p;7.4;12.5
PF3D7_0209000;PF3D7_0209000.1;6-cysteine protein P230;9;34.3
PF3D7_0209100;PF3D7_0209100.1;patatin-like phospholipase, putative;46;68.7
PF3D7_0209200;PF3D7_0209200.1;exosome complex component MTR3, putative;41.5;76.1
PF3D7_0209300;PF3D7_0209300.1;2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase;20.1;50.3
PF3D7_0209400;PF3D7_0209400.1;conserved protein, unknown function;34.2;64.7
PF3D7_0209500;PF3D7_0209500.1;conserved Plasmodium protein, unknown function;9.9;56
PF3D7_0209600;PF3D7_0209600.1;transporter, putative;8.9;72.2
PF3D7_0209700;PF3D7_0209700.1;RING zinc finger protein, putative;49.3;80.5
PF3D7_0209800;PF3D7_0209800.1;ATP-dependent RNA helicase UAP56;88.1;96.6
PF3D7_0209900;PF3D7_0209900.1;unspecified product;22.7;61.3
PF3D7_0210000;PF3D7_0210000.1;secretory complex protein 61 gamma subunit;89.5;99.3
PF3D7_0210100;PF3D7_0210100.1;60S ribosomal protein L37ae, putative;93.4;98.6
PF3D7_0210100;PF3D7_0210100.2;60S ribosomal protein L37ae, putative;93.4;98.6
PF3D7_0210200;PF3D7_0210200.1;conserved Plasmodium protein, unknown function;27.5;79.2
PF3D7_0210300;PF3D7_0210300.1;monocarboxylate transporter, putative;15;78.2
PF3D7_0210400;PF3D7_0210400.1;50S ribosomal protein L33, putative;0;78.3
PF3D7_0210500;PF3D7_0210500.1;conserved Plasmodium protein, unknown function;18.5;49.6
PF3D7_0210600;PF3D7_0210600.1;conserved protein, unknown function;20;96.1
PF3D7_0210700;PF3D7_0210700.1;syntaxin, Qa-SNARE family;30.9;90.9
PF3D7_0210800;PF3D7_0210800.1;conserved Plasmodium protein, unknown function;27.6;87.1
PF3D7_0210900;PF3D7_0210900.1;conserved Plasmodium protein, unknown function;90.9;95.9
PF3D7_0211000;PF3D7_0211000.1;unspecified product;21;49.6
PF3D7_0211100;PF3D7_0211100.1;conserved Plasmodium protein, unknown function;11.3;43.3
PF3D7_0211200;PF3D7_0211200.1;ras-related protein Rab-5A;23;68.9
PF3D7_0211300;PF3D7_0211300.1;ubiquinol-cytochrome-c reductase complex assembly factor 1, putative;17.8;42.1
PF3D7_0211400;PF3D7_0211400.1;beta-ketoacyl-ACP synthase III;8.4;24.7
PF3D7_0211500;PF3D7_0211500.1;GAF domain-related protein, putative;19.9;59
PF3D7_0211600;PF3D7_0211600.1;UDP-N-acetylglucosamine transferase subunit ALG14, putative;0;51.6
PF3D7_0211700;PF3D7_0211700.1;tyrosine kinase-like protein, putative;19.6;59.4
PF3D7_0211800;PF3D7_0211800.1;asparagine--tRNA ligase;58.6;94
PF3D7_0211900;PF3D7_0211900.1;pseudouridine synthase, putative;20.1;75.9
PF3D7_0212000;PF3D7_0212000.1;GDP-fructose:GMP antiporter, putative;30.2;79.7
PF3D7_0212100;PF3D7_0212100.1;conserved Plasmodium protein, unknown function;52.4;72.8
PF3D7_0212200;PF3D7_0212200.1;ribosomal protein L12, mitochondrial, putative;34.8;72.7
PF3D7_0212300;PF3D7_0212300.1;peptide chain release factor subunit 1, putative;78.6;94.7
PF3D7_0212400;PF3D7_0212400.1;conserved Plasmodium membrane protein, unknown function;48;66.7
PF3D7_0212500;PF3D7_0212500.1;conserved Plasmodium protein, unknown function;70.6;81
PF3D7_0212600;PF3D7_0212600.1;secreted protein with altered thrombospondin repeat domain;33;96.5
PF3D7_0212700;PF3D7_0212700.1;SRR1-like protein;24.4;59.5
PF3D7_0212800;PF3D7_0212800.1;multidrug efflux pump, putative;22.2;43.1
PF3D7_0212900;PF3D7_0212900.1;arginyl-tRNA--protein transferase;19.4;92.2
PF3D7_0213000;PF3D7_0213000.1;conserved protein, unknown function;34.3;82.7
PF3D7_0213100;PF3D7_0213100.1;protein SIS1;59.9;91.1
PF3D7_0213200;PF3D7_0213200.1;conserved protein, unknown function;29.1;81.6
PF3D7_0213300;PF3D7_0213300.1;conserved protein, unknown function;38.3;90.2
PF3D7_0213400;PF3D7_0213400.1;protein kinase 7;13.3;66.5
PF3D7_0213500;PF3D7_0213500.1;tetratricopeptide repeat protein, putative;28.9;53.9
PF3D7_0213600;PF3D7_0213600.1;conserved Plasmodium protein, unknown function;14.2;26.2
PF3D7_0213700;PF3D7_0213700.1;conserved protein, unknown function;23.6;86.2
PF3D7_0213800;PF3D7_0213800.1;conserved protein, unknown function;16.6;42
PF3D7_0213900;PF3D7_0213900.1;RTR1 domain-containing protein, putative;32.3;77.5
PF3D7_0214000;PF3D7_0214000.1;T-complex protein 1 subunit theta;60.9;94.5
PF3D7_0214100;PF3D7_0214100.1;protein transport protein SEC31;76.3;85.3
PF3D7_0214200;PF3D7_0214200.1;ribosomal protein L13, mitochondrial;20.1;84.6
PF3D7_0214300;PF3D7_0214300.1;conserved Plasmodium protein, unknown function;32.3;55.9
PF3D7_0214400;PF3D7_0214400.1;conserved protein, unknown function;51.1;92.6
PF3D7_0214500;PF3D7_0214500.1;conserved Plasmodium protein, unknown function;15.5;51.7
PF3D7_0214600;PF3D7_0214600.1;serine/threonine protein kinase, putative;14.4;96.3
PF3D7_0214700;PF3D7_0214700.1;conserved Plasmodium protein, unknown function;14.8;79
PF3D7_0214800;PF3D7_0214800.1;conserved Plasmodium membrane protein, unknown function;31.1;80.5
PF3D7_0214900;PF3D7_0214900.1;rhoptry neck protein 6;36.6;99.5
PF3D7_0215000;PF3D7_0215000.1;acyl-CoA synthetase;55.8;83.4
PF3D7_0215100;PF3D7_0215100.1;RING zinc finger protein, putative;56.2;75.6
PF3D7_0215200;PF3D7_0215200.1;conserved Plasmodium protein, unknown function;21.8;42.7
