"","Gene_id","Variant","areaFC","MeanRedPercent","Percent_12B","area_12B","rel_12B","state_12B","category_12B","Percent_10G","area_10G","rel_10G","state_10G","category_10G","Gene_name","Annot","TransDif","Dif_state"
"17","PF3D7_0500100",TRUE,1.78327668522043,3.76031991744066,2.65092879256966,27.5530667717636,"mid","CVG_Silenced_FC_reddown","CVG_Silenced",6.19195046439629,43.5609971661557,"max","CVG_Silenced_FC_reddown","CVG_Silenced","VAR","erythrocyte membrane protein 1, PfEMP1",TRUE,FALSE
"18","PF3D7_0532600",TRUE,2.88828510153945,32.7721878224974,41.4280185758514,78.4645586383111,"max","CVG_Active_FC","CVG_Active",11.1455108359133,42.6436483246276,"min","CVG_Silenced_FC","CVG_Silenced","null","Plasmodium exported protein, unknown function",TRUE,TRUE
"19","PF3D7_0601200",TRUE,2.99253655011849,42.6019091847265,35.7778637770898,57.0102044141079,"mid","CVG_Semiactive_FC","CVG_Semiactive",16.7956656346749,39.7366218178744,"min","CVG_Silenced_FC","CVG_Silenced","MC-2TM","Pfmc-2TM Maurer's cleft two transmembrane protein",TRUE,TRUE
"20","PF3D7_0607900",FALSE,1.14177061907766,31.8240454076367,30.5340557275542,17.1356782695894,"min","Active_FC","Active",29.6633126934985,32.5495816271378,"max","Active_FC","Active","null","conserved Plasmodium protein, unknown function",TRUE,FALSE
"21","PF3D7_0617400",TRUE,1.98619429663733,16.311919504644,5.05030959752322,32.0729780742477,"min","CVG_Silenced_FC","CVG_Silenced",13.6416408668731,42.2207652595486,"mid","CVG_Semiactive_FC","CVG_Semiactive","VAR","erythrocyte membrane protein 1, PfEMP1",FALSE,TRUE
"22","PF3D7_0632600",TRUE,2.03225420117933,43.3759029927761,72.1555727554179,42.2774001555063,"max","CVG_Active_FC","CVG_Active",19.0208978328173,14.8419684395853,"min","CVG_Silenced_FC","CVG_Silenced","RIF","rifin, pseudogene",TRUE,TRUE
"23","PF3D7_0706900",FALSE,1.12907390947441,6.20485036119711,7.60448916408669,26.660434944008,"max","Inactive_FC","Inactive",3.79256965944272,11.4179371661035,"min","Inactive_FC","Inactive","null","tRNA Histidine",TRUE,FALSE
"24","PF3D7_0711700",TRUE,5.40783395595937,48.7487100103199,98.0263157894737,107.552924785892,"max","CVG_Active_FC","CVG_Active",16.311919504644,34.5471663804405,"min","CVG_Silenced_FC","CVG_Silenced","VAR","erythrocyte membrane protein 1, PfEMP1",TRUE,TRUE
"25","PF3D7_0711900",TRUE,1.02080225519302,14.7445820433437,14.4736842105263,41.9357223016952,"max","CVG_Active_FC","CVG_Active",17.9760061919505,28.1548918565894,"min","CVG_Silenced_FC","CVG_Silenced","RIF","rifin, pseudogene",TRUE,TRUE
"26","PF3D7_0712600",TRUE,1.09148857412663,12.8160474716202,7.33359133126935,31.0954555475329,"min","CVG_Silenced_FC","CVG_Silenced",12.1904024767802,39.7152396724987,"mid","CVG_Semiactive_FC","CVG_Semiactive","VAR","erythrocyte membrane protein 1, PfEMP1",FALSE,TRUE
"27","PF3D7_0713300",TRUE,3.15709571755839,41.1442208462332,12.1323529411765,23.9104454146858,"min","CVG_Silenced_FC","CVG_Silenced",23.2391640866873,38.0345516916412,"min","CVG_Silenced_FC","CVG_Silenced","VAR","erythrocyte membrane protein 1 (PfEMP1), pseudogene",TRUE,FALSE
"28","PF3D7_0715700",FALSE,0.9,19.046697626419,19.5820433436533,23.1471871152273,"min","Inactive","Inactive",20.6656346749226,40.0409771794175,"max","Inactive","Inactive","null","conserved protein, unknown function",TRUE,FALSE
"29","PF3D7_0800800",TRUE,0.9,14.0415376676987,20.9945820433437,39.9337770583031,"max","CVG_Silenced_noFC","CVG_Silenced",8.22368421052632,25.8869110101402,"min","CVG_Silenced_noFC","CVG_Silenced","null","Plasmodium exported protein (hyp7), unknown function",TRUE,FALSE
"30","PF3D7_0800900",TRUE,1.6140518887225,8.22368421052632,8.80417956656347,29.5531807043378,"mid","CVG_Silenced_FC_reddown","CVG_Silenced",3.50232198142415,15.7274311679434,"min","CVG_Silenced_FC_reddown","CVG_Silenced","null","Plasmodium exported protein (hyp7), unknown function, pseudogene",TRUE,FALSE
"31","PF3D7_0808900",TRUE,3.59630469358484,9.17827657378741,22.1749226006192,54.2943690045375,"max","CVG_Active_FC","CVG_Active",1.18034055727554,5.74425564114221,"min","CVG_Silenced_FC","CVG_Silenced","RIF","rifin",TRUE,TRUE
"32","PF3D7_0827200",FALSE,1.22221756617201,9.87487100103199,10.3134674922601,16.8104788437846,"min","Inactive_FC","Inactive",10.3521671826625,29.8633918049062,"max","Inactive_FC","Inactive","null","conserved Plasmodium protein, unknown function",TRUE,FALSE
"33","PF3D7_0833500",TRUE,1.07617906269292,14.3640350877193,5.18575851393189,42.8493149362059,"min","CVG_Silenced_FC","CVG_Silenced",13.6029411764706,51.5609131801993,"mid","CVG_Semiactive_FC","CVG_Semiactive","VAR","erythrocyte membrane protein 1, PfEMP1",FALSE,TRUE
"34","PF3D7_0930000",FALSE,2.2588252588862,7.52708978328173,10.874613003096,39.4450551832156,"max","Inactive_FC","Inactive",7.37229102167183,8.95091418825196,"min","Inactive_FC","Inactive","null","procollagen lysine 5-dioxygenase, putative",TRUE,FALSE
"35","PF3D7_0937800",TRUE,1.39040148293876,4.28921568627451,3.11532507739938,27.1554812434519,"min","CVG_Silenced_FC_reddown","CVG_Silenced",8.04953560371517,45.9259012631252,"max","CVG_Silenced_FC_reddown","CVG_Silenced","VAR","erythrocyte membrane protein 1, PfEMP1",TRUE,FALSE
"36","PF3D7_1100100",TRUE,1.01668542880464,7.48194014447884,7.39164086687307,28.4657613498675,"max","CVG_Silenced_FC_reddown","CVG_Silenced",5.26315789473684,14.7405080610049,"min","CVG_Silenced_FC_reddown","CVG_Silenced","VAR","erythrocyte membrane protein 1, PfEMP1",TRUE,FALSE
"37","PF3D7_1100300",TRUE,3.62985955397376,6.89176986584107,1.84791021671827,24.7668098082648,"min","CVG_Silenced_FC_reddown","CVG_Silenced",6.17260061919505,57.3077954173408,"mid","CVG_Silenced_FC_reddown","CVG_Silenced","RIF","rifin",TRUE,FALSE
"38","PF3D7_1100500",TRUE,3.35463113487781,15.4476264189886,6.86919504643963,36.5417319368578,"min","CVG_Silenced_FC","CVG_Silenced",23.1230650154799,81.8292522577082,"max","CVG_Active_FC","CVG_Active","RIF","rifin",TRUE,TRUE
"39","PF3D7_1102200",TRUE,2.48823911150762,9.99742002063983,3.96671826625387,14.4004691317257,"min","CVG_Silenced_FC_reddown","CVG_Silenced",13.8544891640867,47.9916971370785,"max","CVG_Silenced_FC_reddown","CVG_Silenced","null","DnaJ protein, putative",TRUE,FALSE
"40","PF3D7_1149600",TRUE,1.18933621022346,63.1578947368421,50.328947368421,48.1684680872978,"min","CVG_Silenced_FC","CVG_Silenced",71.265479876161,62.5371144669539,"max","CVG_Active_FC","CVG_Active","null","DnaJ protein, putative",TRUE,TRUE
"41","PF3D7_1200100",TRUE,1.04891915164094,5.7985036119711,4.27631578947368,29.7841232413254,"min","CVG_Silenced_FC_reddown","CVG_Silenced",8.57198142414861,43.9445317884781,"max","CVG_Silenced_FC_reddown","CVG_Silenced","VAR","erythrocyte membrane protein 1, PfEMP1",TRUE,FALSE
"42","PF3D7_1220700",TRUE,1.66241007952232,7.68188854489164,5.16640866873065,9.76823580911043,"min","CVG_Silenced_FC_reddown","CVG_Silenced",10.2747678018576,32.2107718826618,"max","CVG_Silenced_FC_reddown","CVG_Silenced","null","conserved Plasmodium protein, unknown function",TRUE,FALSE
"43","PF3D7_1240100",TRUE,2.09067569873252,71.671826625387,44.4078947368421,35.766269115324,"min","CVG_Silenced_FC","CVG_Silenced",95.9171826625387,63.990391048213,"max","CVG_Active_FC","CVG_Active","ETRAMP12","early transcribed membrane protein 12",TRUE,TRUE
"44","PF3D7_1255200",TRUE,1.29237944100985,5.12125902992776,3.81191950464396,35.7955539361461,"min","CVG_Silenced_FC_reddown","CVG_Silenced",8.51393188854489,50.9080395672474,"max","CVG_Silenced_FC_reddown","CVG_Silenced","VAR","erythrocyte membrane protein 1, PfEMP1",TRUE,FALSE
"45","PF3D7_1300200",TRUE,3.62537421509731,12.1001031991744,25.5224458204334,57.5607976781235,"max","CVG_Active_FC","CVG_Active",0.445046439628483,8.61824577430978,"min","CVG_Silenced_FC","CVG_Silenced","RIF","rifin",TRUE,TRUE
"46","PF3D7_1300500",TRUE,1.41301503299031,9.77167182662539,14.0286377708978,36.7406846379676,"max","CVG_Silenced_FC_reddown","CVG_Silenced",5.76625386996904,17.6649816925984,"min","CVG_Silenced_FC_reddown","CVG_Silenced","RIF","rifin",TRUE,FALSE
"47","PF3D7_1301500",TRUE,3.97028543144779,9.44272445820433,13.3707430340557,82.6029777442937,"max","CVG_Silenced_FC_reddown","CVG_Silenced",0.445046439628483,29.0041244197485,"min","CVG_Silenced_FC_reddown","CVG_Silenced","null","Plasmodium exported protein (PHISTa), unknown function",TRUE,FALSE
"48","PF3D7_1301600",TRUE,3.88693208935396,70.749484004128,16.4280185758514,15.0035502019374,"min","CVG_Silenced_FC","CVG_Silenced",98.1811145510836,59.1468134496692,"max","CVG_Active_FC","CVG_Active","EBA140","erythrocyte binding antigen-140",TRUE,TRUE
"49","PF3D7_1301700",TRUE,2.90350075692716,82.0755933952528,50.5804953560371,43.3083621391163,"min","CVG_Silenced_FC","CVG_Silenced",98.0843653250774,82.5056223576329,"max","CVG_Active_FC","CVG_Active","CBP2","CX3CL1-binding protein 2",TRUE,TRUE
"50","PF3D7_1319900",FALSE,1.25732852566259,6.70794633642931,5.45665634674923,22.812189397178,"min","Inactive_FC","Inactive",7.9140866873065,39.7861244936229,"max","Inactive_FC","Inactive","null","conserved Plasmodium protein, unknown function",TRUE,FALSE
"51","PF3D7_1322900",FALSE,1.8713967237551,18.4017027863777,19.3111455108359,5.47581814874999,"min","Inactive_FC","Inactive",19.8529411764706,29.3287916838693,"max","Inactive_FC","Inactive","null","conserved protein, unknown function",TRUE,FALSE
"52","PF3D7_1341000",FALSE,1.22829524122822,11.5260577915377,10.6617647058824,32.4405870639456,"max","Inactive_FC","Inactive",10.7198142414861,15.8586013073646,"min","Inactive_FC","Inactive","null","tRNA Arginine",TRUE,FALSE
"53","PF3D7_1373500",TRUE,1.18859548924161,16.3635190918473,12.093653250774,40.9160375989556,"mid","CVG_Semiactive_FC","CVG_Semiactive",30.3405572755418,50.5409139025816,"max","CVG_Active_FC","CVG_Active","VAR","erythrocyte membrane protein 1, PfEMP1",FALSE,TRUE
"54","PF3D7_1444100",FALSE,0.996006621212222,36.6486068111455,38.4481424148607,1.8153348337515,"min","Inactive_rnaseq","Inactive",33.9202786377709,15.2614242201165,"max","Inactive_rnaseq","Inactive","null","conserved Plasmodium protein, unknown function",TRUE,FALSE
"55","PF3D7_API01100",FALSE,0.996303678633178,26.1674406604747,29.6826625386997,24.3786790334793,"max","Inactive_rnaseq","Inactive",26.0448916408669,10.9285793719314,"min","Inactive_rnaseq","Inactive","null","tRNA Glutamic acid",TRUE,FALSE
